obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
790,"
								拉菲传奇波尔多干红葡萄酒(又名：传奇波尔多红葡萄酒)2支装",  ,"
												100%
										",0,近期售出数 53,119,"
																红葡萄酒 干红","
																40%赤霞珠(Cabernet Sauvignon)、60%梅洛(merlot)","
																0000","
																法国(France) 波尔多(Bordeaux)","
																波尔多法定产区 A.O.C","
																12-13.5%(不同年份不同批次，度数不同)","
																750ml","
																浆果味和甘草味","
																深红宝石色","
																中","
																平衡","
																30分钟","
																红肉类食物","
																9个月",6236091
791,"
								【名庄】力士金庄园干红2008",LASCOMBES,"
												90%
										",7,近期售出数 168,728,"
											红葡萄酒 干红","
											美乐(Merlot),赤霞珠(Cabernet Sauvignon),小味多(Petit Verdot)","
											2008","
											法国(France) 波尔多(Bordeaux)","
											1855列级庄2级","
											13%","
											750mL","
											干果，黑色水果味","
											深宝石红色","
											中高","
											饱满","
											2006年份葡萄酒获2010桦榭葡萄酒指引二星级；2005年份葡萄酒获2009桦榭葡萄酒指引二星级；2004年份葡萄酒获2008桦榭葡萄酒指引二星级；2003年份葡萄酒获桦榭葡萄酒指引一星级","
											红肉类食物","
											12-18个月",5199941
792,"
								薄若莱新酒村庄级-乔治杜博夫欢庆干红葡萄酒2015",George DuBoeuf Beaujolais Villages Nouveau,"
												90%
										",100,近期售出数 5542,109,"
											红葡萄酒 干红","
											100%佳美(Gamay)",  ,"
											法国(France) 薄若莱(Beaujolais)","
											薄若莱村庄AOC","
											13.5%","
											750ml","
											水果香气，橡皮糖，矿物","
											紫红色","
											中","
											清雅","
											即开即饮","
											奶酪，烤肉及红烧类菜系",  ,6217900
793,"
								小龙船白葡萄酒",Grand Bateau Blanc,"
												70%
										",3,近期售出数 523,86,"
											白葡萄酒 干白","
											50%白苏维翁(Sauvignon Blanc) 50%沙美龙(Semillon)",  ,"
											法国(France) 波尔多(Bordeaux)","
											AOC","
											 12.5%","
											750ml","
											青柠檬、香草、牛油","
											稻黄","
											中低","
											清雅","
											即开即饮","
											开胃酒，新鲜鱼类",  ,6214951
794,"
								*柏林堡雷司令白葡萄酒*",BEREICH RIESLING,"
												100%
										",0,近期售出数 97,129,"
											白葡萄酒 半甜白","
											雷司令，米勒图高",  ,"
											德国(Germany) 莫塞(Mosel)",  ,"
											9%vol","
											750毫升","
											桃子、西柚、柠檬清香果味和精致花卉香气","
											浅柠檬色","
											中","
											平衡","
											即开即饮","
											甜点，火锅、辛辣菜肴等",  ,6236051
795,"
								康纳斯顿IX9珍藏赤霞珠干红葡萄酒",Cornerstone IX9 Cabernet Sauvignon Reserva,"
												90%
										",32,近期售出数 1761,88,"
											红葡萄酒 干红","
											100%赤霞珠(Cabernet Sauvignon)",  ,"
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.0%","
											750ml","
											浆果、黑醋栗、青草","
											宝石红色","
											中高","
											饱满","
											30分钟","
											各类红肉，尤其适合牛排、肋排","
											6个月",6222450
796,"
								奔富BIN2西拉马塔罗干红葡萄酒  整箱装 750ml*6 ",Penfolds Bin 2 Shiraz Mataro,  ,  ,  ,  ,"
																红葡萄酒 干红","
																设拉子(Shiraz)，马塔罗（Mataro）",  ,"
																澳大利亚(Australia) 南澳(South Australia)",  ,"
																0.145","
																750ml","
																樱桃","
																宝石红","
																中高","
																饱满","
																30分钟","
																红肉类食物","
																无",6230841
797,"
								美酒密探半干红葡萄酒",Alias Secret Agent Red Blend,"
												90%
										",72,近期售出数 2891,99,"
											红葡萄酒 干红","
											仙粉黛,梅洛,赤霞珠,西拉","
											2013","
											美国(USA) 加州(California)","
											美国优质酒庄","
											13%","
											750ml","
											花香中带有李子和草莓的甜味","
											宝石色",  ,"
											圆润","
											30分钟","
											白肉和红肉，意粉，芝士",  ,6206509
798,"
								柏图斯庄主的私家珍藏-波尔多侯爵干红葡萄酒 ",Marquis de Bordeaux,"
												90%
										",81,近期售出数 15965,139,"
											红葡萄酒 干红","
											65% merlot, 35% Cabernet Franc",  ,"
											法国(France) 波尔多(Bordeaux)",  ,"
											13.5%","
											750 ml","
											红色水果香气，黑莓，樱桃，黑加仑等","
											深红色","
											中高","
											平衡","
											世界顶级侍酒师Olivier Poussier鼎力推荐","
											红烧肉，羊排，牛肉等","
											9个月",6212166
799,"
								云雾之湾长相思白葡萄酒（又名：云雾之湾苏维浓白葡萄酒）",Cloudy Bay Sauvignon Blanc,"
												90%
										",247,近期售出数 6456,339,"
											白葡萄酒 干白","
											苏维浓白(Sauvignon Blanc)","
											0000","
											新西兰(New Zealand) 马丁伯勒(Martinborough)","
											新西兰优质酒庄","
											13.5%","
											750ml","
											桃子、西番莲、芒果、茴香和法国香料","
											浅黄色","
											中","
											清爽","
											10分钟","
											清淡菜肴，海鲜",  ,4924
800,"
								克拉希湾干红葡萄酒-6支装",  ,"
												90%
										",400,近期售出数 2738,290,"
																红葡萄酒 干红","
																60%歌海娜(Grenache)30%佳丽酿(Carignan)10%慕合怀特(Mourvedre)","
																0000","
																法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
																科比埃AOC Corbières","
																12.5%","
																750ml","
																黑莓、黑加仑、香料","
																宝石红色","
																中高","
																圆润","
																30分钟","
																烤肉、家常菜肴、芝士",  ,5152395
801,"
								 菲兰特利爱之恋 西班牙排名前三的酒庄- 6支装 ",  ,"
												90%
										",88,近期售出数 2145,159,"
																红葡萄酒 干红",  ,  ,"
																西班牙(Spain) 其他",  ,"
																12%","
																750 ml","
																红色果香为主，樱桃，草莓","
																红宝石","
																中","
																平衡",  ,"
																红肉，烧烤",  ,6216442
802,"
								迪圣干红葡萄酒（杜哈斯丘产区）",Bonnefons Cotes De Duras,"
												80%
										",6,近期售出数 11904,188,"
											红葡萄酒 干红","
											60%美乐(Merlot),40%赤霞珠(Cabernet Sauvignon)","
											0000","
											法国(France) 西南产区(Sud-Ouest)","
											AOC","
											12.5%","
											750ml","
											水果","
											深宝石红色","
											中高","
											饱满","
											15分钟","
											红肉、烤肉、牛肉","
											无",5197381
803,"
								波尔多中级庄组合（金格兰城堡+马莎尔城堡+米克城堡+圣多利城堡）",  ,"
												100%
										",0,近期售出数 80,399,"
																红葡萄酒 干红","
																梅洛(Merlot)、赤霞珠（Cabernet Sauvignon)","
																2011","
																法国(France) 波尔多(Bordeaux)","
																中级酒庄Cru Bourgeois","
																13%","
																750ml","
																樱桃、黑加仑、欧亚甘草、辛香料","
																紫红色","
																中高","
																饱满","
																60分钟","
																牛排、羊排、野味、禽肉","
																12-18个月",6204922
804,"
								*伊拉苏总统之选珍藏赤霞珠干红*",Errazuriz President Choice Reserve Cabernet Sauvignon,"
												100%
										",12,近期售出数 14368,168,"
											红葡萄酒 干红","
											赤霞珠",  ,"
											智利(Chile) 阿空加瓜大区(Aconcagua Regions)","
											智利优质酒庄","
											13.5%","
											750ml","
											黑莓、桑果香味中带出丝丝烟草的气息。","
											宝石红","
											中","
											饱满","
											15-30分钟","
											牛肉，小羊肉，巧克力甜点","
											8个月",6226532
805,"
								十字木桐庄园干红葡萄酒2011（小名庄）",Chateau Croix Mouton 2011,  ,  ,  ,  ,"
											红葡萄酒 干红","
											89%美乐(Merlot),10%品丽珠(Cabernet Franc),1%小味多(Petit Verdot)",  ,"
											法国(France) 波尔多(Bordeaux)",  ,"
											13.5%","
											750ML","
											巧克力、黑莓果香","
											深宝石红","
											中","
											平衡",  ,  ,  ,6235919
806,"
								灰燕百露香白起泡葡萄酒",OPHICUS BIUT CUVEE,"
												80%
										",1,近期售出数 2271,39,"
											起泡酒 干起泡酒","
											阿依伦(AIREN)",  ,"
											西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)",  ,"
											11%vol","
											750ml","
											坚果蜂蜜香","
											浅黄色","
											中","
											清爽","
											0","
											海鲜","
											无",6233380
807,"
								【中级庄】大梅多克城堡干红葡萄酒",Chateau Grand Medoc Haut Medoc,"
												100%
										",0,近期售出数 162,128,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)","
											上梅多克中级庄","
											13%(v/v)",  ,"
											红色水果及橡木桶香气","
											紫红色","
											中","
											平衡","
											60分钟","
											烤肉，野味，红肉，奶酪等",  ,6236772
808,"
								杜葡庄园干红葡萄酒（新）",Les Sentiers de la Pointe,"
												100%
										",11,近期售出数 13065,59,"
											红葡萄酒 干红","
											40%歌海娜(Grenache)、20%希拉(Syrah)、20%佳丽酿(Carignan)、10%慕和怀特(Mourvedre),可贝尔AOP,0.0",  ,"
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											可贝尔AOP","
											0.125","
											750ml","
											皮革、巧克力、咖啡、辛香料、粘土","
											宝石红色","
											中",  ,"
											10分钟","
											烤红肉、家禽、芝士",  ,6206592
809,"
								拉菲传奇梅多克红葡萄酒拉菲罗斯柴尔德集团荣誉出品）",Lafite Legende Medoc,"
												100%
										",1,近期售出数 276,128,"
											其他 其他",  ,  ,"
											法国(France) 波尔多(Bordeaux)","
											梅多克法定地区AOC",  ,  ,  ,"
											深宝石红色, 淡红瓦色","
											中高","
											平衡",  ,  ,  ,6212690
810,"
								金羊窖藏干红葡萄酒",THE GOLDEN SHEEP RESERVE RED WINE,"
												100%
										",0,近期售出数 6888,49,"
											红葡萄酒 干红",  ,  ,"
											智利(Chile) 中央山谷(Central Valley)",  ,"
											0.125","
											750ml","
											红色水果","
											宝石红色","
											中","
											圆润","
											15-20分钟","
											奶酪、红肉类、熟食","
											无",6232664
811,"
								弗朗古堡干红葡萄酒",Chateau FRANC COUPLET,"
												100%
										",24,近期售出数 16394,168,"
											红葡萄酒 干红","
											50%梅乐(Melot),20%品丽珠(Cabernet Franc),30%赤霞珠(Cabernet Sauvignon)","
											2013","
											法国(France) 波尔多(Bordeaux)","
											AOC","
											12.0%","
											750ml","
											单宁圆润，柔顺。","
											深红石榴色","
											中","
											平衡","
											2013年份获得2014年度年Feminalises大赛中荣获GOLD；2013年份获得2014年度年法国巴黎农业大赛中荣获Silver。","
											红肉、烤肉、芝士",  ,6211439
812,"
								康纳斯顿IX6珍藏西拉干红葡萄酒",Cornerstone IX6 Syrah Reserva,"
												90%
										",31,近期售出数 1408,88,"
											红葡萄酒 干红","
											100%西拉/设拉子(Syrah/Shiraz)",  ,"
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.0%","
											750ml","
											黑樱桃、黑莓","
											宝石红色","
											中高","
											饱满","
											30分钟","
											各类红肉，尤其适合猪肉、羊排、牛腩、牛排","
											6个月",6222449
813,"
								洛神山庄西拉干红葡萄酒750ml*2(又名：洛神山庄设拉子干红葡萄酒)",Penfolds Rawsons Retreat Shiraz,"
												80%
										",1,近期售出数 433,69,"
																红葡萄酒 干红",  ,"
																2014","
																澳大利亚(Australia) 南澳(South Australia)",  ,  ,"
																750ml","
																黑梅、樱桃","
																深紫色","
																中高","
																饱满","
																30分钟","
																红肉类食物",  ,6233120
814,"
								黄尾袋鼠签名版珍藏加本力苏维翁红葡萄酒750ml",yellow tail,"
												100%
										",2,近期售出数 1106,99,"
											红葡萄酒 半干红",  ,  ,"
											澳大利亚(Australia) 东南澳(South Eastern Australia)",  ,"
											14%vol",  ,  ,  ,"
											中高","
											饱满",  ,  ,  ,6232675
815,"
								【名庄】卡门萨城堡副牌红葡萄酒2014",La Closerie de Camensac,"
												100%
										",0,近期售出数 219,138,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)","
											五级庄副牌",  ,  ,  ,  ,  ,"
											清雅","
											30分钟","
											牛肉等红肉",  ,6234684
816,"
								意大利之花甜起泡酒2支装（甜+桃红）",  ,"
												90%
										",418,近期售出数 8670,169,"
																起泡酒 甜起泡酒","
																85% Lambrusco Sorbara(朗布罗斯科),,15%匹诺莱托(Pignoletto)","
																0000","
																意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","
																IGT","
																8.0%","
																750ml","
																果香","
																桃红色","
																中低","
																清雅","
																即开即饮","
																蛋糕，甜品","
																无",5184284
817,"
								艾拉贝拉西拉干红葡萄酒",Arabella Shiraz,"
												100%
										",0,近期售出数 1185,59,"
											红葡萄酒 干红","
											100%西拉Shiraz",  ,"
											南非(South Africa) 西开普产地(Western Cape)",  ,"
											14.0%","
											750毫升","
											果香复杂　风味浓郁","
											宝石红色","
											中高","
											饱满","
											Michelangelo 2006","
											北京烤鸭、各种野味或者黑胡椒牛柳、烤羊排、烤肉、各种芝士",  ,6235634
818,"
								蒙特斯晚收贵腐甜白葡萄酒375ml",MONTES LATE HARVEST,"
												90%
										",325,近期售出数 5074,138,"
											白葡萄酒 贵腐酒","
											100%琼瑶浆(Gewurztraminer)","
											0000","
											智利(Chile) 中央山谷(Central Valley)",  ,"
											12.0%","
											375ml","
											杏仁花香、蜂蜜香气。","
											金黄色","
											中高","
											清雅","
											国际葡萄酒展优胜奖；《智利葡萄酒指南》顶级葡萄酒奖。智利CATAD'OR-HYATT大奖赛金奖。","
											甜点、鹅肝酱等、亦可作为餐后酒",  ,13083
819,"
								心语甜桃红起泡低醇葡萄酒",Love Letter Declaration,  ,  ,  ,  ,"
											起泡酒 甜起泡酒","
											麝香(Muscat/Moscato),巴贝拉(Baberra),马尔瓦西(Malvasia)",  ,"
											意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)",  ,"
											6.5%vol","
											750ml","
											玫瑰香气、清新荔枝、蜜瓜香气","
											桃红色","
											轻","
											清雅","
											即开即饮","
											适合配搭水果，蛋糕，英式下午茶 ，韩餐，中餐适合与麻辣小龙虾 湘菜 和川菜最为合意","
											无",6228662
820,"
								金羊干红葡萄酒-6瓶装",  ,"
												90%
										",176,近期售出数 2358,169,"
																红葡萄酒 干红",  ,  ,"
																法国(France) 其他","
																V.C.E","
																12%（v/v）","
																750ml",  ,"
																深宝石红","
																中","
																平衡",  ,"
																红肉、奶酪等",  ,6229459
821,"
								劳伦米格尔父子系列赤霞珠西拉干红葡萄酒",Laurent Miquel Pere et Fils Cabernet Syrah,"
												90%
										",75,近期售出数 9083,139,"
											红葡萄酒 干红","
											60%赤霞珠(Canernet Sauvignon)、40%西拉(Syrah)","
											2013","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											IGP","
											13.5%","
											750ml","
											黑色水果","
											紫红色","
											中","
											饱满","
											30分钟","
											可搭配带汁肉类，野味、味道浓郁的菜肴和奶酪。","
											6个月",6203491
822,"
								洛神山庄西拉赤霞珠干红葡萄酒750ml*2(又名：奔富洛神山庄干红葡萄酒)",Rawsons Retreat Shiraz Cabernet,"
												80%
										",1,近期售出数 690,69,"
																红葡萄酒 干红","
																60%西拉/设拉子（Syrah/Shiraz）、40%赤霞珠(Cabernet Sauvignon)",  ,"
																澳大利亚(Australia) 东南澳(South Eastern Australia)","
																澳洲优质酒庄","
																13.5%","
																750ml","
																夏令水果、红醋栗、草莓、山莓、罗甘莓","
																深红色","
																中高","
																饱满","
																30分钟","
																牛肉、羔羊肉及意大利面",  ,6233117
823,"
								存风酒园宫廷阿马罗内红葡萄酒",CORTE GIONA AMARONE,"
												90%
										",5,近期售出数 1342,339,"
											红葡萄酒 半干红","
											65%科维纳(Corvina Veronese),10%科维诺尼(Corvinone),20%罗蒂内拉(Rondinella),5%其他",  ,"
											意大利(Italy) 威尼托(Veneto)","
											DOCG","
											15%","
											750ml","
											野浆果，红色浆果，烟熏","
											紫红色伴随宝石红边缘颜色","
											中高","
											饱满","
											30-60分钟","
											红肉，芝士",  ,6221740
824,"
								铁臂雷米圣鸭赤霞珠干红葡萄酒",Remy Ferbras,"
												90%
										",54,近期售出数 3119,49,"
											红葡萄酒 干红","
											赤霞珠",  ,"
											法国(France) 罗纳河谷(Rhone Valley)",  ,"
											13.5%","
											750ml","
											黑醋栗、黑莓、青椒","
											宝石红色","
											中","
											平衡","
											30分钟","
											鸭肉",  ,6223676
825,"
								班菲干红葡萄酒（FSA）",Baron de Phillipe Tinto,"
												80%
										",402,近期售出数 37143,38,"
											红葡萄酒 干红","
											100%丹魄(Tempranillo)","
											0000","
											西班牙(Spain) 阿拉贡(Aragon)","
											日常餐酒","
											12.0%","
											750ml","
											红色浆果气息","
											宝石红色","
											中","
											平衡","
											15分钟","
											红肉类食物","
											无",5196872
826,"
								泥房子马尔堡长相思干白葡萄酒（原泥房子天鹅系列长相思干白葡萄酒）整箱6支装",  ,"
												90%
										",104,近期售出数 2991,640,"
																白葡萄酒 干白","
																100%长相思(Sauvignon Blanc)","
																0000","
																新西兰(New Zealand) 马尔堡(Marlborough)","
																新西兰优质酒庄","
																13.0%","
																750ml","
																百香果、番石榴香、柠檬","
																浅黄色","
																中低","
																饱满","
																30分钟","
																海鲜、水果","
																无",5196672
827,"
								银葩赤霞珠干红葡萄酒",Silver Palm Cabernet Sauvignon,"
												90%
										",33,近期售出数 1582,158,"
											红葡萄酒 干红","
											82%赤霞珠 (Cabernet Sauvignon),16%美乐(Merlot)，2%品丽珠(Cabernet Franc)","
											2012","
											美国(USA) 加州(California)","
											美国优质酒庄","
											13.50%","
											750ml","
											黑色樱桃，香料","
											深红色","
											中高","
											圆润","
											30分钟","
											烤肉，芝士","
											12-18个月",6206507
828,"
								多米诺梅洛干红葡萄酒",Domino Merlot ,"
												90%
										",130,近期售出数 4134,82,"
											红葡萄酒 干红","
											100%梅洛(Merlot)","
											2012","
											美国(USA) 加州(California)","
											美国优质酒庄","
											13.0%","
											750ml","
											果香","
											深宝石红","
											中高","
											饱满","
											30分钟","
											红肉、牛排、野味、奶酪",  ,5195537
829,"
								奔富寇兰山赤霞珠干红葡萄酒 6支整箱装 750ml*6",Penfolds Koonunga Hill Cabernet Sauvignon,"
												80%
										",2,近期售出数 409,498,"
																红葡萄酒 干红","
																100%赤霞珠（Cabernet Sauvignon）",  ,"
																澳大利亚(Australia) 南澳(South Australia)","
																澳大利亚优质酒庄","
																14.5%","
																750ml","
																樱桃","
																红宝石","
																中高","
																饱满","
																30分钟","
																肉类","
																无",6230858
830,"
								查尔斯督华世家天然型香槟750ML",CHAMPAGNE CHARLES DU ROY BRUT 750ml,"
												90%
										",5,近期售出数 634,179,"
											起泡酒 干香槟",  ,  ,"
											法国(France) 香槟(Champagne)",  ,"
											12%","
											750",  ,  ,  ,  ,  ,  ,  ,6229672
831,"
								彩风赤霞珠美乐红葡萄酒（DeAguirre酒庄）",Viento Sur Cabernet Sauvignon Melot,"
												80%
										",30,近期售出数 7290,46,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),美乐(Merlot)","
											2011","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.0%","
											750ml","
											红色浆果、樱桃、覆盆子、香料的香气","
											宝石红色","
											中低","
											清雅","
											10分钟","
											适合搭配烤肉及各式中餐","
											无",5184338
832,"
								冰后半甜白葡萄酒",Muse ATHENA,"
												100%
										",0,近期售出数 153,68,"
											白葡萄酒 半甜白","
											莫斯卡托",  ,"
											西班牙(Spain) 其他",  ,"
											11.5%vol","
											750毫升","
											百里香、丁香等白色花香和梨子的香气","
											浅柠檬黄","
											中低","
											圆润","
											无需醒酒","
											沙拉， 甜点， 火锅， 辛辣菜肴",  ,6236838
833,"
								意大利弗莱斯凯罗葡萄酒(红)",Freschello rosso,"
												80%
										",799,近期售出数 115130,49.3,"
											红葡萄酒 半干红","
											100%梅洛(Merlot)","
											0000","
											意大利(Italy) 威尼托(Veneto)","
											意大利/威尼托地方餐酒 V.D.T","
											10.5%","
											750ML","
											黑樱桃、焦糖、烘烤面包","
											红宝石","
											中","
											圆润","
											20分钟","
											意大利面、肉类",  ,1125
834,"
								金羊佳酿干红葡萄酒",OVEJA CRIANZA RED WINE,"
												80%
										",1,近期售出数 9635,49,"
											红葡萄酒 干红",  ,  ,"
											西班牙(Spain) 其他",  ,"
											0.12","
											750ml","
											红色水果","
											宝石红色","
											中","
											圆润","
											15-20分钟","
											奶酪、红肉类、熟食","
											无",6232666
835,"
								蒙特斯小天使西拉桃红",Montes Cherub Rose of Syrah,"
												100%
										",332,近期售出数 3213,106,"
											桃红葡萄酒 干型桃红","
											100%西拉Syrah","
											0000","
											智利(Chile) 中央山谷(Central Valley)",  ,"
											13.5%","
											750ml","
											花香","
											石榴红","
											中低","
											清雅","
											《wine Enthusiast》《葡萄酒爱好者》评分：90分","
											冷冻后与烤鱼、鸡鸭类或各种风味菜肴共享，无以尚之",  ,7907
836,"
								康纳斯顿IX9赤霞珠干红葡萄酒-6支装",  ,"
												100%
										",54,近期售出数 892,239,"
																红葡萄酒 干红","
																100%赤霞珠(Cabernet Sauvignon)",  ,"
																智利(Chile) 中央山谷(Central Valley)","
																智利优质酒庄","
																12.5%","
																750ml","
																黑莓子、樱桃、李子","
																宝石红色","
																中高","
																饱满","
																15分钟","
																各类红肉、馥郁浓香的烤肉",  ,6222965
837,"
								让·阿诺博若莱干红葡萄酒2017（莎普蒂尔旗下荣誉出品）",Jean Arthaud Beaujolais  Nouveau  2017,"
												100%
										",0,近期售出数 1146,158,"
											红葡萄酒 干红","
											佳美",  ,"
											法国(France) 薄若莱(Beaujolais)",  ,"
											0.13","
											750","
											红色系浆果","
											红宝石","
											轻","
											圆润",  ,"
											？烤肉，红烧肉，奶酪",  ,6235772
838,"
								维莎赤霞珠干红葡萄酒",La Cuvee Levisa  Cabernet Sauvignon,"
												100%
										",323,近期售出数 142894,49,"
											红葡萄酒 干红","
											100%赤霞珠(Cabernet Sauvignon)","
											0000","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											奥克法定地区餐酒I.G.P","
											13.0%","
											750ml","
											黑加仑子 胡椒 杜松子等混合香味","
											宝石红色","
											中高","
											饱满","
											30分钟","
											红色肉类佳肴，如牛排、烤羊腿、红烧肉等",  ,14461
839,"
								【名庄】芳宝堡干红葡萄酒2015",Chateau Fombrauge 2015,"
												100%
										",0,近期售出数 280,279,"
											红葡萄酒 干红","
											 95% 梅乐、5% 品丽珠",  ,"
											法国(France) 波尔多(Bordeaux)","
											圣爱美隆列级酒庄",  ,"
											750ML",  ,  ,"
											中","
											饱满","
											1小时以上",  ,  ,6234968
840,"
								*贝马格雷家族珍藏干红葡萄酒*",Reserve de la famille,"
												80%
										",182,近期售出数 34110,198,"
											红葡萄酒 干红","
											90%梅洛(Merlot)、5%赤霞珠(Cabernet Sauvignon)、5%品丽珠(Carbernet Franc)","
											0000","
											法国(France) 波尔多(Bordeaux)","
											波尔多法定产区 A.O.C","
											12.5%","
											750ml","
											覆盆子、李子、樱桃","
											深宝石红色","
											中高","
											饱满","
											即开即饮","
											红肉类、熟食、奶酪","
											12个月",5150521
841,"
								*开辟一号干红葡萄酒*",Capitor VDF Rouge Sec,"
												100%
										",0,近期售出数 7648,89,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),歌海娜(Grenache/Granacha)",  ,"
											法国(France) 其他","
											VDF","
											13.5%","
											750ml","
											红色水果味、香草、黑樱桃果酱的迷人香气","
											紫红色","
											重","
											圆润",  ,"
											烤肉",  ,6227864
842,"
								蒙特斯紫天使干红葡萄酒",Purple Angel by Montes,"
												100%
										",126,近期售出数 4644,428,"
											红葡萄酒 干红","
											92%佳美娜(Carmenere),8%小味多(Petit Verdot)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											14.5%","
											750ML","
											蓝莓、草莓等水果的香气","
											呈深紫红色","
											中高","
											饱满","
											120分钟","
											红肉类食物","
											18个月",5168900
843,"
								弗尔拉德宫优质雷司令白葡萄酒（螺旋塞）",SCHLOSS VOLLRADS RIESLING Qualitatswein trocken,"
												100%
										",7,近期售出数 495,118,"
											白葡萄酒 半干白","
											100%雷司令(Riesling)",  ,"
											德国(Germany) 莱茵高(Rheingau)","
											特定产区优质酒","
											12.5%vol","
											750ml","
											新鲜活泼的果香","
											清澈","
											中低","
											清爽","
											The drinks Business Magazine  银奖","
											烧烤、沙拉、清淡海鲜等都很适宜","
											无",6230817
844,"
								蒙特斯欧法梅洛干红（又名：蒙特斯欧法美乐）",Montes Alpha Merlot,"
												100%
										",89,近期售出数 1781,159,"
											红葡萄酒 干红","
											90%美乐(Merlot)、10%卡门尼雅(Carmenere)","
											0000","
											智利(Chile) 中央山谷(Central Valley)",  ,"
											14.5%","
											750ml","
											果香，红莓、黑樱桃、黑胡椒和烟草","
											深宝石红色","
											重","
											饱满","
											30分钟","
											烤肉、野味、禽类、比萨和意大利面","
											12个月",15803
845,"
								*美景湾佳美娜红葡萄酒*",Rio Bueno Carmenere,"
												80%
										",299,近期售出数 51292,149,"
											红葡萄酒 干红","
											100%佳美娜(Carmenere)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.0%","
											750ml","
											黑莓、青椒、红樱桃的香气","
											深紫红色","
											中高","
											圆润","
											30分钟","
											禽肉类、烧烤、牛排以及奶酪",  ,12685
846,"
								泥房子中奧塔哥黑比诺红葡萄酒（原泥房子天鹅系列）-6支",  ,"
												90%
										",7,近期售出数 265,668,"
																红葡萄酒 干红","
																100%黑皮诺(Pinot Noir)",  ,"
																新西兰(New Zealand) 中奥塔哥(Central Otago)","
																新西兰优质酒庄","
																14.0%","
																750ml","
																樱桃","
																深宝石红","
																中",  ,"
																2010 旧金山年国家葡萄酒大赛 银奖2009 悉尼国际葡萄酒大赛  蓝金奖2009 国际葡萄酒与烈酒大赛 银奖（最佳经典葡萄酒）2009 国家葡萄酒挑战大赛 银奖","
																香酥鸭、烤鹌鹑、叉烧肉、烤三文鱼、烤金枪鱼和烤甜菜根等","
																法国橡木桶10个月",6229657
847,"
								【名庄】酩悦香槟",Moet  Chandon Brut Imperial,"
												90%
										",314,近期售出数 16463,358,"
											起泡酒 干香槟","
											黑皮诺(Pinot Noir) 夏多内(Chardonnay) 比诺曼尼(Meunier)","
											0000","
											法国(France) 香槟(Champagne)","
											法国香槟产区","
											12％","
											750ml","
											新鲜果香","
											浅黄色","
											中低","
											清雅","
											即饮","
											新鲜海鲜为主",  ,4883
848,"
								奔富麦克斯赤霞珠干红葡萄酒",Penfolds MAX Cabernet Sauvignon,"
												100%
										",19,近期售出数 4549,288,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon)",  ,"
											澳大利亚(Australia) 南澳(South Australia)","
											澳大利亚优质酒庄","
											14.5%","
											750ml","
											黑梅、樱桃","
											深紫色","
											中高","
											饱满","
											30分钟","
											红肉类食物","
											12个月",6226698
849,"
								Relax系列红司令（又名：罗莱克斯红葡萄酒）",Schmittsoehne Relax Coolred,"
												80%
										",345,近期售出数 14078,85,"
											红葡萄酒 半干红","
											100%圣菲德(Dornfelder)","
											0000","
											德国(Germany) 莱茵黑森(Rheinhessen)","
											德国特定产区优质酒 Q.B.A","
											10.5%","
											750ml","
											樱桃 李子","
											宝石红色","
											中","
											圆润","
											20-30分钟","
											牛肉、猪肉、红肉等",  ,3103
850,"
								*金格兰城堡干红葡萄酒2014*（梅多克中级庄））",  ,"
												100%
										",0,近期售出数 421,298,"
											红葡萄酒 干红","
											55%梅乐，40%赤霞珠，5%品丽珠",  ,"
											法国(France) 波尔多(Bordeaux)","
											中级庄","
											13.5%","
											750ML",  ,  ,"
											中","
											平衡","
											30分钟以上","
											红肉类，奶酪等",  ,6235892
